Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ad_via.PrjPcb|ReportField=ProjectFullPath~C:\Users\AnhTu\Desktop\New folder (2)\Makerbot\ad_via.PrjPcb|ReportField=Title~Bill of Materials For Project [ad_via.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~71|ReportField=ReportTime~6:59:07 PM|ReportField=ReportDate~1/8/2021|ReportField=ReportDateTime~1/8/2021 6:59:07 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/8/2021|ReportField=CurrentTime~6:58:57 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\AnhTu\Desktop\New folder (2)\Makerbot\CONNECTROS.SchDoc|ReportField=DocumentName~CONNECTROS.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/7/2021|ReportField=Organization~|ReportField=ProjectName~ad_via.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ad_via.PrjPcb|ReportField=DataSourceFullPath~C:\Users\AnhTu\Desktop\New folder (2)\Makerbot\ad_via.PrjPcb
USB_Micro_5S_B|USB micro female SMT with 4 fixed foot|U3|USB_MICRO_5S_B|USB_Micro_5S_B|1
1N5819/SS14/S4(SOD_323)|Surface mount schottky diode SOD-323(0805) Package|D1|SMT_DIODE_SOD_323|SMT_DIODE_SCHOTTKY_SOD_323|1
S8050|Surface mount NPN transistor, package SOT-23|VT1, VT2|SMT_TRIODE_NPN|SMT_TRIODE_NPN|2
10uF 25V|Surface mount capacitor 0805|C7, C8|SMT_C_0805|SMT_C_0805|2
KEY_RST/USER|SMT Tactile ‎Switch PTS 820 Series|S1, S2|SMT_SW_PTS_820|SMT_SW_PTS_820|2
CP2102-GM|Single-Chip USB to UART Bridge, 1024 Bytes EEPROM, -40 to 85 degC, 28-pin QFN, Tube|U4|CP2102|CP2102-GM|1
SS24|Schottky Diode|D2|SMB|D Schottky|1
Resistor|RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 1K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 10K, RES SM 0603 100K, RES SM 0603 100K, RES SM 0603 100K, RES SM 0603 100K, RES SM 0603 100K, RES SM 0603 100K, RES SM 0603 10K, RES SM 0603 10K|R1, R2, R3, R4, R5, R6, R7, R8, R9, R11, R12, R13, R14, R15, R16, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27|SMT0603|RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-1K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-10K, RES-SM-0603-100K, RES-SM-0603-100K, RES-SM-0603-100K, RES-SM-0603-100K, RES-SM-0603-100K, RES-SM-0603-100K, RES-SM-0603-10K, RES-SM-0603-10K|25
DS3231MZ+|Real Time Clock _RTC_ IC Clock/Calendar IÂ²C, 2-Wire Serial 8-SOIC _0.154, 3.90mm Width_|U9|SOIC127P600X175-8N|DS3231MZ+|1
1812L075PR|Polymeric PTC Resettable Fuse 13.2V 750mA Ih Surface Mount 1812 _4532 Metric_, Concave|F|1812|1812L075PR|1
